id,group,layer,base_margin,ablated_margin,delta_margin
95a85df48902d23eb3fda25a99fca1a0,success,0,-2.6776504516601562,-0.9584732055664062,1.71917724609375
95a85df48902d23eb3fda25a99fca1a0,success,1,-2.6776504516601562,-1.1995086669921875,1.4781417846679688
95a85df48902d23eb3fda25a99fca1a0,success,2,-2.6776504516601562,0.5799179077148438,3.257568359375
95a85df48902d23eb3fda25a99fca1a0,success,3,-2.6776504516601562,-1.3593425750732422,1.318307876586914
95a85df48902d23eb3fda25a99fca1a0,success,4,-2.6776504516601562,-1.2132396697998047,1.4644107818603516
95a85df48902d23eb3fda25a99fca1a0,success,5,-2.6776504516601562,-1.1325407028198242,1.545109748840332
637c710ec9582fd9b9e8eaa3f3fe83bb,success,0,-3.019886016845703,-6.178672790527344,-3.1587867736816406
637c710ec9582fd9b9e8eaa3f3fe83bb,success,1,-3.019886016845703,-1.0448112487792969,1.9750747680664062
637c710ec9582fd9b9e8eaa3f3fe83bb,success,2,-3.019886016845703,-0.11565399169921875,2.9042320251464844
637c710ec9582fd9b9e8eaa3f3fe83bb,success,3,-3.019886016845703,-1.0088119506835938,2.0110740661621094
637c710ec9582fd9b9e8eaa3f3fe83bb,success,4,-3.019886016845703,-1.778573989868164,1.241312026977539
637c710ec9582fd9b9e8eaa3f3fe83bb,success,5,-3.019886016845703,-1.1325407028198242,1.887345314025879
17eafc807b198236faf06a66f4c05313,success,0,-3.038684844970703,-2.3947906494140625,0.6438941955566406
17eafc807b198236faf06a66f4c05313,success,1,-3.038684844970703,-4.140392303466797,-1.1017074584960938
17eafc807b198236faf06a66f4c05313,success,2,-3.038684844970703,-2.7295989990234375,0.3090858459472656
17eafc807b198236faf06a66f4c05313,success,3,-3.038684844970703,-0.8069915771484375,2.2316932678222656
17eafc807b198236faf06a66f4c05313,success,4,-3.038684844970703,-1.3038482666015625,1.7348365783691406
17eafc807b198236faf06a66f4c05313,success,5,-3.038684844970703,-1.2358760833740234,1.8028087615966797
64dbe5cb840ef4f1d25f8b68db8d5fed,success,0,-3.5433273315429688,-1.4811744689941406,2.062152862548828
64dbe5cb840ef4f1d25f8b68db8d5fed,success,1,-3.5433273315429688,-3.927143096923828,-0.3838157653808594
64dbe5cb840ef4f1d25f8b68db8d5fed,success,2,-3.5433273315429688,-2.7215957641601562,0.8217315673828125
64dbe5cb840ef4f1d25f8b68db8d5fed,success,3,-3.5433273315429688,-1.623992919921875,1.9193344116210938
64dbe5cb840ef4f1d25f8b68db8d5fed,success,4,-3.5433273315429688,-1.8504161834716797,1.692911148071289
64dbe5cb840ef4f1d25f8b68db8d5fed,success,5,-3.5433273315429688,-1.446284294128418,2.097043037414551
02f43014a135cbd39f23b044c99de96e,success,0,3.8830184936523438,0.17256927490234375,-3.71044921875
02f43014a135cbd39f23b044c99de96e,success,1,3.8830184936523438,1.8641204833984375,-2.0188980102539062
02f43014a135cbd39f23b044c99de96e,success,2,3.8830184936523438,-1.2033538818359375,-5.086372375488281
02f43014a135cbd39f23b044c99de96e,success,3,3.8830184936523438,1.2593536376953125,-2.6236648559570312
02f43014a135cbd39f23b044c99de96e,success,4,3.8830184936523438,1.4542999267578125,-2.4287185668945312
02f43014a135cbd39f23b044c99de96e,success,5,3.8830184936523438,1.1325407028198242,-2.7504777908325195
41bab71fea3fa04e5a4e10a2f86996df,success,0,-3.3729209899902344,-1.865152359008789,1.5077686309814453
41bab71fea3fa04e5a4e10a2f86996df,success,1,-3.3729209899902344,-3.638011932373047,-0.2650909423828125
41bab71fea3fa04e5a4e10a2f86996df,success,2,-3.3729209899902344,-3.3259735107421875,0.046947479248046875
41bab71fea3fa04e5a4e10a2f86996df,success,3,-3.3729209899902344,-0.4308929443359375,2.942028045654297
41bab71fea3fa04e5a4e10a2f86996df,success,4,-3.3729209899902344,-1.575796127319336,1.7971248626708984
41bab71fea3fa04e5a4e10a2f86996df,success,5,-3.3729209899902344,-1.446284294128418,1.9266366958618164
70af2b5df22ec96901350dfa3c9ee74f,success,0,2.294475555419922,1.5517997741699219,-0.74267578125
70af2b5df22ec96901350dfa3c9ee74f,success,1,2.294475555419922,-0.044147491455078125,-2.338623046875
70af2b5df22ec96901350dfa3c9ee74f,success,2,2.294475555419922,-1.2085151672363281,-3.50299072265625
70af2b5df22ec96901350dfa3c9ee74f,success,3,2.294475555419922,-0.42173004150390625,-2.716205596923828
